TransactionID,CustomerName,TextileType,Category,Region,SalespersonName,OrderDate,Quantity,PricePerUnit,TotalAmount,PaymentMethod
1,XYZ Apparel,Cotton Fabric,Natural Fibers,Europe,Mike Johnson,9/19/2024,567,14.61,8283.87,Cash
2,ABC Textiles,Cotton Fabric,Blended Fabrics,North America,Jane Smith,9/3/2024,824,14.89,12269.36,PayPal
3,ABC Textiles,Cotton Fabric,Natural Fibers,North America,Jane Smith,9/11/2024,846,7.99,6759.54,Bank Transfer
4,XYZ Apparel,Woolen Fabric,Blended Fabrics,Asia,Jane Smith,9/17/2024,922,13.34,12299.48,PayPal
5,ABC Textiles,Woolen Fabric,Natural Fibers,Asia,Mike Johnson,9/5/2024,329,17.11,5629.19,PayPal
6,ABC Textiles,Silk Fabric,Blended Fabrics,North America,John Doe,9/18/2024,236,22.27,5255.72,PayPal
7,XYZ Apparel,Denim,Natural Fibers,Asia,John Doe,8/24/2024,637,7.24,4611.88,PayPal
8,ABC Textiles,Silk Fabric,Blended Fabrics,Europe,John Doe,9/12/2024,528,25.23,13321.44,Credit Card
9,XYZ Apparel,Denim,Blended Fabrics,Asia,Jane Smith,9/10/2024,927,15.16,14053.32,Credit Card
10,XYZ Apparel,Cotton Fabric,Blended Fabrics,Europe,Jane Smith,9/19/2024,639,10.14,6479.46,Cash
11,XYZ Apparel,Woolen Fabric,Blended Fabrics,North America,Jane Smith,9/22/2024,581,6.32,3671.92,Bank Transfer
12,ABC Textiles,Silk Fabric,Natural Fibers,North America,Mike Johnson,9/6/2024,124,18.32,2271.68,PayPal
13,ABC Textiles,Cotton Fabric,Blended Fabrics,Asia,Mike Johnson,9/11/2024,229,16.16,3700.64,Bank Transfer
14,ABC Textiles,Cotton Fabric,Blended Fabrics,Europe,Mike Johnson,9/9/2024,466,26.07,12148.62,PayPal
15,ABC Textiles,Woolen Fabric,Natural Fibers,Asia,Mike Johnson,8/30/2024,110,12.53,1378.3,Bank Transfer
16,XYZ Apparel,Woolen Fabric,Blended Fabrics,Asia,Mike Johnson,9/21/2024,617,15.88,9797.96,Cash
17,ABC Textiles,Silk Fabric,Blended Fabrics,North America,Jane Smith,9/20/2024,230,19.01,4372.3,PayPal
